file_name,dispatch_count,sp_call_count,matched_dispatch,network_score,public_action_count,injected_dep_count,async_action_count,sp_names
Ctrl068Controller.cs,1,1,1,0,1,0,0,CORP.PKG_012.SP_012_021|CORP.PKG_012.SP_012_013|CORP.PKG_012.SP_012_034|CORP.PKG_012.SP_012_035
Ctrl069Controller.cs,5,"3,6",5,0,6,0,0,CORP.PKG_011.SP_011_146|CORP.PKG_012.SP_012_017|CORP.PKG_012.SP_012_018|CORP.PKG_012.SP_012_007|CORP.PKG_012.SP_012_002|CORP.PKG_012.SP_012_003|CORP.PKG_012.SP_012_006
Ctrl070Controller.cs,4,4,4,0,5,0,0,CORP.PKG_012.SP_012_022|CORP.PKG_012.SP_012_014|CORP.PKG_012.SP_012_005|CORP.PKG_012.SP_012_023|CORP.PKG_012.SP_012_016|CORP.PKG_012.SP_012_015|CORP.PKG_011.SP_011_039|CORP.PKG_011.SP_011_040
Ctrl071Controller.cs,3,3,3,0,5,0,2,CORP.PKG_012.SP_012_021|CORP.PKG_012.SP_012_013|CORP.PKG_012.SP_012_034|CORP.PKG_012.SP_012_035
Ctrl072Controller.cs,2,2,2,0,2,0,0,CORP.PKG_012.SP_012_060|CORP.PKG_012.SP_012_059
Ctrl073Controller.cs,4,4,4,0,5,0,0,CORP.PKG_012.SP_012_022|CORP.PKG_012.SP_012_014|CORP.PKG_012.SP_012_005|CORP.PKG_012.SP_012_023|CORP.PKG_012.SP_012_016|CORP.PKG_012.SP_012_015|CORP.PKG_009.SP_009_097
Ctrl074Controller.cs,1,1,1,0,1,0,0,CORP.PKG_012.SP_012_062|CORP.PKG_012.SP_012_061
Ctrl075Controller.cs,10,"9,0",10,0,12,1,0,CORP.PKG_012.SP_012_011|CORP.PKG_012.SP_012_029|CORP.PKG_012.SP_012_009|CORP.PKG_012.SP_012_030|CORP.PKG_012.SP_012_033|CORP.PKG_012.SP_012_031|CORP.PKG_012.SP_012_032|CORP.PKG_025.SP_025_004|CORP.PKG_012.SP_012_028|CORP.PKG_012.SP_012_039|CORP.PKG_012.SP_012_038|CORP.PKG_012.SP_012_037|CORP.PKG_012.SP_012_036|CORP.PKG_012.SP_012_065
Ctrl076Controller.cs,6,"4,5",6,0,8,0,0,CORP.PKG_012.SP_012_024|CORP.PKG_012.SP_012_008|CORP.PKG_012.SP_012_012|CORP.PKG_012.SP_012_020|CORP.PKG_009.SP_009_031|CORP.PKG_012.SP_012_025|CORP.PKG_012.SP_012_026|CORP.PKG_012.SP_012_027
Ctrl077Controller.cs,3,3,3,0,3,0,0,CORP.PKG_012.SP_012_053|CORP.PKG_012.SP_012_052|CORP.PKG_012.SP_012_040|CORP.PKG_012.SP_012_051|CORP.PKG_012.SP_012_042
Ctrl078Controller.cs,3,3,3,0,7,3,0,CORP.PKG_005.SP_005_001|CORP.PKG_010.SP_010_008|CORP.PKG_010.SP_010_006|CORP.PKG_009.SP_009_030|CORP.PKG_011.SP_011_063|CORP.PKG_011.SP_011_079|CORP.PKG_011.SP_011_124|CORP.PKG_011.SP_011_125
Ctrl079Controller.cs,2,2,2,0,3,0,0,CORP.PKG_010.SP_010_005|CORP.PKG_023.SP_023_004|CORP.PKG_023.SP_023_003
Ctrl080Controller.cs,1,1,1,0,1,0,0,CORP.PKG_010.SP_010_008
